row,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
AL,1632467,218,496,458,1748,524,201,66,59,7075,7680,296,73,1048,746,193,347,791,1249,85,579,256,1233,239,2991,653,79,148,272,80,375,211,1037,1615,45,1134,357,158,566,50,949,49,3470,2829,173,38,1471,500,144,329,55
AK,177,245092,589,141,1626,596,54,22,22,775,414,329,358,250,166,109,173,148,164,98,153,142,391,374,118,236,375,129,330,69,110,188,357,466,107,295,239,724,266,25,222,99,192,1119,278,48,369,1510,54,273,107
AZ,490,630,2080423,528,18104,3829,583,145,117,3413,1344,818,1033,4028,1589,1089,958,512,427,311,851,1022,3893,1991,333,1508,612,761,3586,359,1141,3536,2746,1436,320,2701,898,2264,1886,167,501,501,901,5546,2340,134,1497,4310,167,1963,502
AR,499,140,626,968501,2019,511,94,31,35,1550,825,127,105,1179,489,301,730,352,1338,57,191,116,603,322,1110,2754,88,217,312,51,190,240,407,560,40,463,2560,197,331,43,268,68,1878,5395,160,35,442,386,50,399,104
CA,1365,1371,16252,1377,12707337,7794,2277,417,1253,11803,5325,5317,2455,9211,2833,1548,1976,1396,1748,768,3676,6171,5404,3402,1078,3468,1174,1187,14855,864,5036,2501,13475,5235,405,4808,2107,8666,5436,751,1731,472,2539,17884,4391,463,7055,13198,347,2769,623
CO,615,569,4668,564,10447,1773000,535,103,205,4417,1771,802,845,2981,1114,1287,2084,505,670,325,963,1070,2382,1834,352,1741,943,1690,1910,368,971,2547,2349,1640,426,1912,1267,1433,1638,161,625,666,1004,6888,1772,291,2003,2346,165,1483,2070
CT,136,45,392,74,1764,352,1360079,117,176,3211,777,178,46,654,262,123,90,135,122,448,589,3738,514,250,47,208,41,56,186,566,1754,90,8933,854,17,549,84,139,1293,1151,453,19,246,877,115,376,1021,352,66,197,17
DE,46,19,130,32,355,75,139,333759,72,706,252,33,18,140,77,29,29,52,49,35,2666,151,134,48,36,57,11,18,51,38,1691,24,866,381,5,228,60,28,3413,21,129,11,90,305,33,21,668,84,68,53,8
DC,122,49,184,45,1526,269,341,88,215623,770,527,68,28,684,152,76,75,100,150,79,7458,917,380,213,66,211,29,58,69,88,590,78,1766,701,13,478,64,153,974,80,228,20,212,661,62,86,4766,312,73,186,18
FL,5560,625,2744,1295,9727,3239,4661,850,521,6890522,16516,1175,414,7746,5070,1142,1244,2885,2308,1943,5303,6974,8801,2210,1921,3134,345,702,2151,1911,10630,949,23654,9551,217,9868,1355,914,9629,1734,4690,316,5805,10093,853,763,8891,2506,1131,3030,274
GA,7374,453,1396,701,5917,1277,1119,355,309,21474,3233717,664,190,3360,1668,518,883,1509,1769,312,2504,1420,3377,790,1719,1501,161,314,722,307,2819,396,6872,6763,105,3450,822,409,2875,278,6258,109,5953,6299,401,115,4514,1506,372,997,95
HI,307,309,717,76,5063,654,205,57,53,1195,631,505585,167,465,217,119,246,171,158,113,458,290,329,254,123,300,103,88,784,94,291,152,721,664,41,379,218,684,416,86,339,40,247,1567,331,43,1058,1523,41,180,48
ID,85,362,1010,70,3735,706,41,17,15,434,192,186,520719,267,130,167,135,80,84,46,88,72,222,193,56,172,885,114,1054,26,70,219,246,220,76,178,134,1992,185,15,110,95,121,720,2104,37,275,3967,25,172,504
IL,803,241,2753,815,7450,1843,682,161,484,6826,2581,480,226,4871119,8527,4325,1149,1657,671,207,1112,1518,6744,2615,784,6580,206,638,1248,202,1554,387,3668,1959,172,4180,681,637,2034,196,832,163,2174,4982,452,103,2379,1440,194,6888,178
IN,504,134,1134,381,2657,776,251,70,85,4461,1343,199,126,9782,2442713,465,412,4900,325,89,484,403,4583,569,361,1102,106,222,481,101,486,192,1171,1328,68,5072,362,298,965,60,591,85,1722,2162,253,57,1030,556,197,950,80
IA,131,97,919,289,1989,900,293,53,29,1176,515,120,149,5029,610,1156074,701,234,127,50,198,227,726,2349,149,1653,129,2991,298,54,380,129,493,546,181,586,278,271,444,47,201,889,398,1585,220,28,416,546,36,1505,123
KS,379,158,992,640,2215,1768,106,41,46,1387,858,224,169,1149,549,809,1039162,331,331,65,269,174,587,490,185,9375,138,1425,402,57,221,351,641,732,141,590,2409,258,453,22,263,221,527,3250,228,37,708,656,81,417,173
KY,697,153,573,286,1492,437,158,57,48,3512,1559,189,91,1881,4990,214,366,1506384,340,95,408,220,1613,248,351,784,75,105,228,103,391,142,890,1405,34,6713,279,171,698,51,633,54,4440,1867,167,56,1148,496,772,440,50
LA,1354,189,528,1355,2330,657,169,80,113,3524,2671,221,89,929,470,171,330,431,1511037,79,453,319,788,252,3754,803,82,137,388,60,375,240,985,1203,51,716,600,232,545,74,538,54,1295,10995,179,30,1112,587,97,282,104
ME,71,82,208,25,602,209,633,30,40,1352,201,86,33,169,99,58,41,75,43,514898,254,1919,151,108,25,81,68,15,72,1838,300,65,758,314,14,190,57,100,431,247,140,17,134,357,64,367,481,204,33,92,41
MD,438,166,773,172,3485,803,771,2131,8162,4883,2172,519,104,1284,556,241,321,391,345,230,2163741,1372,1270,418,242,543,91,199,365,218,2799,267,4823,3187,74,1663,275,264,7125,274,1119,54,747,2674,277,108,11045,779,1455,379,48
MA,247,112,872,117,5026,861,4893,168,571,6468,1353,290,75,1527,469,202,193,212,270,2063,1279,2526004,1038,562,134,429,103,111,364,6077,2547,198,8499,1716,39,1195,167,399,2346,4598,569,38,476,1781,266,1183,1825,826,91,440,61
MI,649,261,1685,366,3399,1003,330,85,171,5636,1651,302,137,3987,3644,462,341,824,376,124,616,618,3753886,856,329,856,148,214,787,122,642,248,1855,1562,97,4506,355,365,1162,75,723,82,1529,2568,292,75,1230,741,165,1818,211
MN,181,232,1412,234,2646,1105,221,39,115,1776,647,191,214,2579,654,2487,503,244,184,98,347,430,1287,2071707,118,755,316,687,485,85,402,214,1235,668,3245,768,247,471,595,61,232,1533,439,1854,267,66,616,919,55,7326,157
MS,2624,83,301,890,1006,386,69,54,25,2313,1623,100,59,1052,421,114,193,325,3186,60,223,126,616,169,983867,519,49,113,206,38,155,90,418,717,36,470,273,81,293,33,441,37,4997,2326,117,23,679,227,58,308,38
MO,612,241,1350,2596,3609,1406,215,81,112,3022,1372,327,191,7973,1263,2023,9605,784,708,86,455,352,1316,812,547,2198158,148,1072,601,99,408,342,1073,1108,114,1357,1894,388,828,46,440,228,1444,3981,391,48,1427,906,112,912,160
MT,68,341,651,80,1656,875,46,16,23,424,206,130,877,250,132,144,118,64,72,49,99,110,320,521,56,181,368627,148,425,67,78,177,249,193,418,201,144,744,227,18,87,248,141,595,454,62,211,1746,31,250,812
NE,137,84,761,188,1516,1457,72,19,29,845,339,103,143,723,209,3307,1346,106,105,30,126,98,322,675,90,976,133,684154,273,26,124,156,284,253,154,284,263,177,235,24,98,893,227,1278,198,14,308,383,34,280,419
NV,203,361,3316,225,16914,1457,223,51,58,2340,708,1100,850,1537,505,278,302,246,273,97,394,409,1444,547,193,551,362,249,957278,92,582,678,1439,552,138,1157,347,1333,657,87,280,164,425,2338,1852,38,720,1829,79,562,234
NH,66,38,226,24,644,241,679,32,49,1407,205,51,20,185,94,40,53,63,46,1816,230,6122,140,77,28,84,41,22,89,527531,331,54,1093,397,11,216,44,93,398,329,153,17,141,365,64,1373,386,173,23,83,27
NJ,260,89,714,121,3737,534,1731,1015,323,7389,1712,268,60,1502,475,206,241,280,265,196,1886,1917,895,395,125,435,36,89,434,304,3369279,135,26517,2160,52,1096,177,165,11719,358,805,37,468,1977,147,159,2487,512,163,302,36
NM,183,205,4094,235,3479,2353,116,45,61,1260,471,199,235,617,264,168,486,118,242,97,275,254,452,304,139,370,201,177,940,83,200,713850,620,404,85,449,623,443,358,40,150,124,291,5606,589,46,561,737,59,272,214
NY,839,296,2078,398,12641,1836,7270,642,1494,19909,5086,715,208,4083,1240,511,610,835,809,824,4173,7917,2842,1197,365,1222,180,303,1205,1116,20937,414,7293843,5913,108,3681,569,840,11616,1182,2369,114,1421,5650,544,1228,5915,1877,360,1025,126
NC,1655,480,1676,547,6406,1431,1815,516,555,14123,7087,740,252,2700,1782,621,738,1407,996,612,4306,2325,3800,841,820,1316,173,326,696,689,4581,485,10175,3263662,148,5039,714,591,5330,456,10273,156,3449,5296,426,428,12190,1543,1246,1152,136
ND,47,73,292,40,442,364,17,10,3,271,90,33,108,158,68,171,70,34,95,21,55,34,161,3872,32,98,572,172,126,15,37,79,117,107,258096,111,97,119,79,5,44,739,84,435,90,10,91,271,17,245,217
